Project name;PARQUET;;;;
GitHub repository link;https://github.com/apache/parquet-mr;;;;
;;;;;
Non-linked tickets;321;;;;
Non-linked tickets Percentage;57,32143;;;;
;;;;;
Mese-Anno;Bug fixati;Commit totali;Media;Upper limit;Lower Limit
giu-14;1;3;3,2297297;12,901017;0
lug-14;6;14;3,2297297;12,901017;0
ago-14;9;16;3,2297297;12,901017;0
set-14;10;24;3,2297297;12,901017;0
ott-14;3;5;3,2297297;12,901017;0
nov-14;4;7;3,2297297;12,901017;0
dic-14;2;6;3,2297297;12,901017;0
gen-15;7;9;3,2297297;12,901017;0
feb-15;2;18;3,2297297;12,901017;0
mar-15;13;31;3,2297297;12,901017;0
apr-15;8;21;3,2297297;12,901017;0
mag-15;5;17;3,2297297;12,901017;0
giu-15;10;20;3,2297297;12,901017;0
lug-15;16;25;3,2297297;12,901017;0
ago-15;1;5;3,2297297;12,901017;0
set-15;5;7;3,2297297;12,901017;0
ott-15;3;4;3,2297297;12,901017;0
nov-15;1;4;3,2297297;12,901017;0
dic-15;7;13;3,2297297;12,901017;0
gen-16;4;6;3,2297297;12,901017;0
feb-16;9;10;3,2297297;12,901017;0
mar-16;2;3;3,2297297;12,901017;0
apr-16;5;11;3,2297297;12,901017;0
mag-16;2;2;3,2297297;12,901017;0
giu-16;4;4;3,2297297;12,901017;0
lug-16;4;7;3,2297297;12,901017;0
ago-16;2;9;3,2297297;12,901017;0
set-16;2;2;3,2297297;12,901017;0
ott-16;7;17;3,2297297;12,901017;0
nov-16;1;3;3,2297297;12,901017;0
dic-16;3;6;3,2297297;12,901017;0
gen-17;3;4;3,2297297;12,901017;0
feb-17;0;0;3,2297297;12,901017;0
mar-17;0;0;3,2297297;12,901017;0
apr-17;0;1;3,2297297;12,901017;0
mag-17;1;4;3,2297297;12,901017;0
giu-17;1;4;3,2297297;12,901017;0
lug-17;0;1;3,2297297;12,901017;0
ago-17;0;0;3,2297297;12,901017;0
set-17;0;0;3,2297297;12,901017;0
ott-17;1;1;3,2297297;12,901017;0
nov-17;3;6;3,2297297;12,901017;0
dic-17;0;1;3,2297297;12,901017;0
gen-18;6;11;3,2297297;12,901017;0
feb-18;2;4;3,2297297;12,901017;0
mar-18;1;8;3,2297297;12,901017;0
apr-18;1;6;3,2297297;12,901017;0
mag-18;5;7;3,2297297;12,901017;0
giu-18;4;9;3,2297297;12,901017;0
lug-18;2;3;3,2297297;12,901017;0
ago-18;4;25;3,2297297;12,901017;0
set-18;2;9;3,2297297;12,901017;0
ott-18;1;5;3,2297297;12,901017;0
nov-18;6;19;3,2297297;12,901017;0
dic-18;1;7;3,2297297;12,901017;0
gen-19;4;22;3,2297297;12,901017;0
feb-19;8;14;3,2297297;12,901017;0
mar-19;2;9;3,2297297;12,901017;0
apr-19;0;1;3,2297297;12,901017;0
mag-19;3;11;3,2297297;12,901017;0
giu-19;0;1;3,2297297;12,901017;0
lug-19;5;12;3,2297297;12,901017;0
ago-19;1;1;3,2297297;12,901017;0
set-19;1;11;3,2297297;12,901017;0
ott-19;2;14;3,2297297;12,901017;0
nov-19;1;6;3,2297297;12,901017;0
dic-19;0;3;3,2297297;12,901017;0
gen-20;2;20;3,2297297;12,901017;0
feb-20;2;13;3,2297297;12,901017;0
mar-20;1;4;3,2297297;12,901017;0
apr-20;2;9;3,2297297;12,901017;0
mag-20;0;5;3,2297297;12,901017;0
giu-20;3;6;3,2297297;12,901017;0
