Index;Version ID;Version Name;Date
1;12313046;0.7.0;2005-01-22
2;12313045;0.7.1;2005-04-10
3;12313044;0.7.2;2005-09-11
4;12313043;0.7.3;2006-10-12
5;12313346;0.8.0-incubator;2009-09-23
6;12314330;1.0.0;2010-02-16
7;12314761;1.1.0;2010-03-30
8;12314868;1.2.0;2010-06-29
9;12315183;1.2.1;2010-07-11
10;12315175;1.3.1;2010-10-26
11;12315444;1.4.0;2010-12-20
12;12316012;1.5.0;2011-03-03
13;12316242;1.6.0;2011-07-02
14;12316940;1.7.0;2012-05-29
15;12322469;1.7.1;2012-07-25
16;12321650;1.8.0;2013-03-23
17;12324297;1.8.1;2013-04-10
18;12324261;1.8.2;2013-06-02
19;12324576;1.8.3;2013-11-29
20;12325661;1.8.4;2014-01-31
21;12326163;1.8.5;2014-05-02
22;12326816;1.8.6;2014-06-22
23;12327145;1.8.7;2014-09-19
24;12328660;1.8.8;2014-12-13
25;12329087;1.8.9;2015-03-28
26;12329856;1.8.10;2015-07-22
27;12333061;1.8.11;2016-01-18
28;12319281;2.0.0;2016-03-18
29;12335342;2.0.1;2016-04-26
30;12335585;2.0.2;2016-06-09
31;12336070;2.0.3;2016-09-17
32;12335586;1.8.13;2016-12-09
33;12338228;2.0.4;2016-12-16
34;12338759;2.0.5;2017-03-17
35;12339779;2.0.6;2017-05-15
36;12340513;2.0.7;2017-07-20
37;12341096;2.0.8;2017-11-02
38;12342175;3.0.0 JBIG2;2018-02-27
39;12342085;2.0.9;2018-03-23
40;12338760;1.8.14;2018-04-20
41;12342838;3.0.1 JBIG2;2018-05-17
42;12342889;2.0.10;2018-06-21
43;12343466;2.0.11;2018-06-28
44;12343308;3.0.2 JBIG2;2018-09-25
45;12343489;2.0.12;2018-10-05
46;12344153;2.0.13;2018-12-02
47;12344563;2.0.14;2019-02-28
48;12344997;2.0.15;2019-04-11
49;12345355;2.0.16;2019-06-27
50;12345681;2.0.17;2019-09-20
51;12344157;3.0.3 JBIG2;2019-12-18
52;12346159;2.0.18;2019-12-23
53;12346594;2.0.19;2020-02-23
54;12346996;2.0.20;2020-06-07
